射程	1-仰角	1-时间	2-仰角	2-时间	3-仰角	3-时间	4-仰角	4-时间	5-仰角	5-时间	6-仰角	6-时间
3km	36.00	14s	18.00	11s	12.00	7s	9.00	5s	7.20	4s	6.00	4s
4km	48.00	19s	24.00	15s	16.00	10s	12.00	7s	9.60	5.5s	8.00	5s
5km	60.00	23s	30.00	19s	20.00	13s	15.00	9s	12.00	7s	10.00	7s
6km	—	—	36.00	23s	24.00	15s	18.00	11s	14.40	9s	12.00	8s
7km	—	—	42.00	26.5s	28.00	18s	21.00	13s	16.80	11s	14.00	10s
8km	—	—	48.00	30s	32.00	20s	24.00	15s	19.20	12.5s	16.00	11s
9km	—	—	54.00	34s	36.00	22.5s	27.00	17s	21.60	13.5s	18.00	12s
10km	—	—	60.00	38s	40.00	26s	30.00	18.5s	24.00	15s	20.00	14s
11km	—	—	—	—	44.00	28s	33.00	20s	26.40	16s	22.00	15s
12km	—	—	—	—	48.00	31s	36.00	22s	28.80	18s	24.00	17s
13km	—	—	—	—	52.00	34s	39.00	24s	31.20	20s	26.00	18s
14km	—	—	—	—	56.00	36.5s	42.00	26s	33.60	21s	28.00	20s
15km	—	—	—	—	60.00	39s	45.00	28s	36.00	23s	30.00	21s
16km	—	—	—	—	—	—	48.00	30s	38.40	24s	32.00	22s
17km	—	—	—	—	—	—	51.00	32s	40.80	26s	34.00	24s
18km	—	—	—	—	—	—	54.00	34s	43.20	27s	36.00	26s
19km	—	—	—	—	—	—	57.00	35.5s	45.60	29s	38.00	27s
20km	—	—	—	—	—	—	60.00	37s	48.00	30s	40.00	28s




射程,1-仰角,1-时间,2-仰角,2-时间,3-仰角,3-时间,4-仰角,4-时间,5-仰角,5-时间,6-仰角,6-时间
3km,36.00,14s,18.00,11s,12.00,7s,9.00,5s,7.20,4s,6.00,4s
4km,48.00,19s,24.00,15s,16.00,10s,12.00,7s,9.60,5.5s,8.00,5s
5km,60.00,23s,30.00,19s,20.00,13s,15.00,9s,12.00,7s,10.00,7s
6km,—,—,36.00,23s,24.00,15s,18.00,11s,14.40,9s,12.00,8s
7km,—,—,42.00,26.5s,28.00,18s,21.00,13s,16.80,11s,14.00,10s
8km,—,—,48.00,30s,32.00,20s,24.00,15s,19.20,12.5s,16.00,11s
9km,—,—,54.00,34s,36.00,22.5s,27.00,17s,21.60,13.5s,18.00,12s
10km,—,—,60.00,38s,40.00,26s,30.00,18.5s,24.00,15s,20.00,14s
11km,—,—,—,—,44.00,28s,33.00,20s,26.40,16s,22.00,15s
12km,—,—,—,—,48.00,31s,36.00,22s,28.80,18s,24.00,17s
13km,—,—,—,—,52.00,34s,39.00,24s,31.20,20s,26.00,18s
14km,—,—,—,—,56.00,36.5s,42.00,26s,33.60,21s,28.00,20s
15km,—,—,—,—,60.00,39s,45.00,28s,36.00,23s,30.00,21s
16km,—,—,—,—,—,—,48.00,30s,38.40,24s,32.00,22s
17km,—,—,—,—,—,—,51.00,32s,40.80,26s,34.00,24s
18km,—,—,—,—,—,—,54.00,34s,43.20,27s,36.00,26s
19km,—,—,—,—,—,—,57.00,35.5s,45.60,29s,38.00,27s
20km,—,—,—,—,—,—,60.00,37s,48.00,30s,40.00,28s
